Titolo,Codice,Tipo,Volume,"Autore 1","Autore 2","Autore 3",Anno di pubblicazione,Luogo,Editore,Tags,Fondo,pdf
Comunismo e Cattolicesimo in una parrocchia di campagna,01.1.FAECOM,Libro edito,,"Faenza, Liliano",,,1959,Milano,Feltrinelli,"Politica,Comunismo,Chiesa",Venturati
La Chiesa e le organizzazioni cattoliche in Italia 1945-1955,01.1.FALCHI,Libro edito,,"Falconi, Carlo",,,1956,Torino,Einaudi,"Inchiesta,Chiesa",Venturati
L'altro polo della sinistra,01.1.FEDLAL,Libro edito,,"Federighi, Tiziano",,,1973,Roma,Bulzoni,Politica,Venturati
Crisi italiana e fatti polacchi,01.1.FINCRI,Libro edito,,"Finetti, Ugo",,,1982,,Biblioteca Rossa,"Politica,Esteri",Venturati
Quaderni rossi. Lotte operaie nello sviluppo capitalistico,01.1.FOAQUA.1,Libro edito,1,"Foa, Vittorio",,,1961,Milano,Edizioni Avanti!,"Politica,Comunismo,Operaismo",Venturati
Idee sociali e organizzazione operaia nella prima metà dell'800,01.1.FRAIDE,Libro edito,,"Francovich, Carlo",,,1959,Milano-Roma,Edizioni Avanti!,"Storia,Operaismo",Venturati
La resistenza a Firenze,01.1.FRARES,Libro edito,,"Francovich, Carlo",,,1961,Firenze,La Nuova Italia,"Storia,Resistenza",Venturati
Il risorgimento arabo,01.1.FRARIS,Libro edito,,Francesco Gabrieli,,,1958,Torino,Einaudi,"Storia,Esteri",Venturati
Problemi umani del macchinismo industriale,01.1.FRIPRO,Libro edito,,"Friedmann, Georges",,,1971,Torino,Einaudi,"Politica,Economia",Venturati
Lo stato e il risparmio privato,01.1.FUÀSTA,Libro edito,,"Fuà, Giorgio",,,1961,Torino,Einaudi,"Economia,Amministrazione",Venturati
Manuale di Preistoria,01.1.FURMAN,Libro edito,,"Furon, Raymond",,,1961,Torino,Einaudi,"Educazione,Storia",Venturati
Fiori rossi al Martinetto. Il processo di Torino aprile 1944,01.1.FUSFIO,Libro edito,,"Fusi, Valdo",,,1968,Milano,Mursia,"Storia,Resistenza",Venturati
