Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
Chiesa e Stato in Italia negli ultimi cento anni;01.1.JEMCHI;Libro edito;;Jemolo, Arturo Carlo;;;1956;Torino ;Einaudi ;Storia,Chiesa;Venturati;Venturati;;;
I partiti politici;01.1.JOCPAR;Libro edito;;Jocteau, Gian Carlo;;;1974;Torino;UTET;Storia;Venturati;Venturati;;;
Mercato comune e movimento operaio in Europa ;01.1.KENMER;Libro edito;;Kendall, Walter;;;1965;Milano;Edizioni Azione Comune;Politica,Economia,Operaismo;Venturati;Venturati;;;
La Russia,  l'atomo e l'Occidente;01.1.KENRUS;Libro edito;;Kennan, George F.;;;1958;Torino;Einaudi;Politica,Esteri;Venturati;Venturati;;;
Vogliamo un mondo più nuovo;01.1.KENVOG;Libro edito;;Kennedy, R. J.;;;1968;Milano;Garzanti;Politica,Esteri;Venturati;Venturati;;;
Ricchezza e potere in America;01.1.KOLKRIC;Libro edito;;Kolko, Gabriel;;;1964;Torino;Einaudi;Economia,Esteri;Venturati;Venturati;;;
L'opposizione operaia in Russia;01.1.KOLLLOP;Libro edito;;Kollontai, Alessandra;;;1962;Milano;Azione Comune;Politica,Operaismo,Comunismo;Venturati;Venturati;;;
Memorie di un rivoluzionario;01.1.KROMEM;Libro edito;;Kropotkin, P.A.;;;1968;Roma;Editori Riuniti;Politica,Comunismo;Venturati;Venturati;;;
Dedicato a te cara;01.1.KVLDED;Libro edito;;Kvlividze, Mikail;;;1961;Milano;Edizioni Avanti!;Poesia;Venturati;Venturati;;;
La concezione materialistica della storia;01.1.LABCON;Libro edito;;Labriola, Antonio;;;1965;Bari;Laterza;Filosofia;Venturati;Venturati;;;
In memoria del Manifesto del Partito Comunista;01.1.LABINM;Libro edito;;Labriola, Antonio;;;1960;Milano;Edizioni Avanti!;Politica,Comunismo;Venturati;Venturati;;;
Lettere a Engels;01.1.LABLET;Libro edito;;Labriola, Antonio;;;1949;Roma;Edizioni Rinascita;Filosofia;Venturati;Venturati;;;
Saggio sul materialismo storico;01.1.LABSAG;Libro edito;;Labriola, Antonio;;;1964;Roma;Editori Riuniti;Filosofia;Venturati;Venturati;;;
Finestre aperte a Botteghe Oscure;01.1.LAJDFIN;Libro edito;;Lajolo, Davide;;;1975;Milano;Rizzoli;Politica,Comunismo;Venturati;Venturati;;;
Ventiquattro anni;01.1.LAJDVEN;Libro edito;;Lajolo, Davide;;;1981;Milano;Rizzoli;Politica,Storia,Comunismo;Venturati;Venturati;;;
Gramsci un uomo sconfitto;01.1.LAJLGRA;Libro edito;;Lajolo, Laurana;;;1980;Milano;Rizzoli;Politica,Comunismo;Venturati;Venturati;;;
Il Complesso di Nerone;01.1.LEDCOM;Libro edito;;Ledeen, Michael A.;;;1978;Milano;Editoriale Nuova;Storia;Venturati;Venturati;;;
Napoleone;01.1.LEFNAP;Libro edito;;Lefebvre, Georges;;;1960;Bari;Laterza;Biografico,Storia;Venturati;Venturati;;;
La Comune di Parigi ;01.1.LENCOM.24;Libro edito;24;Lenin;;;1950;Roma;Edizioni Rinascita;Politica,Comunismo;Venturati;Venturati;;;
La rivoluzione d'ottobre;01.1.LENRIV;Libro edito;;Lenin;;;1956;Roma;Edizioni Rinascita;Politica,Comunismo;Venturati;Venturati;;;
Democrazia di piano;01.1.LEODEM;Libro edito;;Leonardi, Silvio;;;1966;Torino;Einaudi;Economia,Comunismo;Venturati;Venturati;;;
Teoria e prassi dell'austromarxismo;01.1.LESTEO;Libro edito;;Leser, Norbert;;;1979;Milano;Edizioni Avanti!;Politica,Comunismo;Venturati;Venturati;;;
Ricordi dei fratelli Rosselli;01.1.LEVRIC;Libro edito;;Levi, Alessandro;;;1947;Firenze;La Nuova Italia;Biografico,Resistenza;Venturati;Venturati;;;
Dizionario dei fatti italiani 1861-2016;01.1.LIBDIZ;Libro edito;;Liberali, Sandro;;;2016;Milano;ITrePonti;Storia;Venturati;Venturati;;;
Lettere 1915-1918;01.1.LIELET;Libro edito;;Liebknecht, Karl;Luxemburg, Rosa;;1967;Roma;Editori Riuniti;Politica,Socialismo;Venturati;Venturati;;;
