Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
Competere per coesistere;01.1.LIPCOM;Libro edito;;Lippman, Walter;;;1959;Torino;Einaudi;Politica,Economia;Venturati;Venturati;;;
Gli scopi di guerra degli Stati Uniti;01.1.LIPSCO;Libro edito;;Lippmann, Walter;;;1946;Torino;Einaudi;Politica,Esteri;Venturati;Venturati;;;
Inchiesta sulla gioventù sovietica;01.1.LIVINC;Libro edito;;Livi, Augusto;;;1961;Torino;Einaudi;Inchiesta,Comunismo,Esteri;Venturati;Venturati;;;
Il regno di Badoglio;01.1.LIZREG;Libro edito;;Lizzadri, Oreste;;;1963;Milano;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Il paese sbagliato;01.1.LODPAE;Libro edito;;Lodi, Mario;;;1970;Torino;Einaudi;Inchiesta;Venturati;Venturati;;;
I quaderni di Piadena;01.1.LODQUA;Libro edito;;Lodi, Mario;Morandi, Giuseppe;;1962;Milano;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Socialismo e comunismo;01.1.LOMFSOC;Libro edito;;Lombardi, Franco;;;1945;Roma-Milano;Società Editrice Avanti!;Socialismo,Politica;Venturati;Venturati;;;
L'alternativa socialista;01.1.LOMRLAL;Libro edito;;Lombardi, Riccardo;;;1976;Cosenza;Lerici;Politica,Socialismo;Venturati;Venturati;;;
Scritti politici 1945-1963;01.1.LOMRSCR.45;Libro edito;;Lombardi, Riccardo;;;1978;Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Scritti politici 1963 - 1978;01.1.LOMRSCR.63;Libro edito;;Lombardi, Riccardo;;;1978;Venezia;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
I centri dirigenti del PCI nella Resistenza;01.1.LONCEN;Libro edito;;Longo, Luigi;;;1977;Roma;Editori Riuniti;Storia,Comunismo;Venturati;Venturati;;;
Breve storia della letteratura tedesca;01.1.LUKBRE;Libro edito;;Lukacs, Gyorgy;;;1956;Torino;Einaudi;Storia,Letteratura;Venturati;Venturati;;;
Donne come te;01.1.LUSDON;Libro edito;;Lussu, Joyce;;;1957;Milano-Roma;Edizioni Avanti!;Politica;Venturati;Venturati;;;
L'accumulazione del capitale e anticritica;01.1.LUXLAC;Libro edito;;Luxemburg, Rosa;;;1960;Torino;Einaudi;Politica,Filosofia politica,Comunismo,Socialismo;Venturati;Venturati;;;
Breve storia economica dell'Italia medievale;01.1.LUZBRE;Libro edito;;Luzzato, Gino;;;1965;Torino;Einaudi;Storia,Economia;Venturati;Venturati;;;
lombardi;01.1.MAFLOM;Libro edito;;Mafai, Miriam;;;1976;Milano;Feltrinelli;Politica,Socialismo;Venturati;Venturati;;;
La pelle;01.1.MALPEL;Libro edito;;Malaparte, Curzio;;;1949;Roma-Milano;Aria d'Italia;Narrativa;Venturati;Venturati;;;
Riformisti e rivoluzionari;01.1.MAMRIF;Libro edito;;Mammarella, Giuseppe;;;1980;Padova;Marsilio Editori;Storia;Venturati;Venturati;;;
Alternativa compromesso socialismo;01.1.MANCALT;Libro edito;;Mancini, Giacomo;;;1977;Cosenza;Lerici;Politica,Socialismo;Venturati;Venturati;;;
Discorsi 1967 - 1971;01.1.MANCDIS;Libro edito;;Mancini, Giacomo;;;1971;Roma;IN.GR.ED;Poesia,Socialismo;Venturati;Venturati;;;
Il mondo in mano;01.1.MANNMON;Libro edito;;Mannocchia, Franco;;;1973;Milano;Corriere dei ragazzi;Educazione;Venturati;Venturati;;;
La Confederazione Generale del Lavoro. Negli atti, nei documenti, nei congressi 1906-1926;01.1.MARCHLCON;Libro edito;;Marchetti, Luciana;;;1962;Milano;Edizioni Avanti!;Politica,Operaismo;Venturati;Venturati;;;
Socialismo;01.1.MARCSOC;Libro edito;;Marchetti, Mario;;;s.d.;Roma-Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Eros e civiltà;01.1.MARCUERO;Libro edito;;Marcuse, Herbert;;;1964;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
L'uomo a una dimensione;01.1.MARCULUO;Libro edito;;Marcuse, Herbert;;;1968;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Guerra popolare e rivoluzione in Jugoslavia;01.1.MARJGUE;Libro edito;;Marjanovic, Jovan;;;1962;Milano;Edizioni Avanti!;Storia,Esteri;Venturati;Venturati;;;
La conquista dei poteri;01.1.MARTECON;Libro edito;;Martinet, Gilles;;;1976;Padova;Marsilio Editori;Politica;Venturati;Venturati;;;
Il marxismo oggi ;01.1.MARTEMAR;Libro edito;;Martinet, Jean-Paul;;;1962;Firenze;La nuova Italia ;Politica,Socialismo,Comunismo;Venturati;Venturati;;;
I giorni sono lunghi;01.1.MARTIGIO;Libro edito;;Martini, Quinto;;;1957;Milano-Roma;Edizioni Avanti!;Narrativa;Venturati;Venturati;;;
Contro l'anarchismo;01.1.MARXCONT;Libro edito;;Marx, Karl;Engels, Friedrich;;1950;Roma ;Edizioni Rinascita;Politica,Storia,Filosofia;Venturati;Venturati;;;
La concezione materialistica della storia;01.1.MARXCONC;Libro edito;;Marx, Karl;Engels, Friedrich;;1959;Roma;Editori Riuniti;Filosofia;Venturati;Venturati;;;
